genome_id	covered	length	percent_covered
G000010625	1008	5842795	0.017252017228056093
G000010645	641	1224999	0.052326573327814964
G000010825	1174	3340369	0.03514581772253305
G000010985	438	2542953	0.017224069811750356
G000011025	182993	2264603	8.080577478701564
G000011065	92479	6293419	1.4694556329397424
G000011245	7510	3630528	0.20685696405591691
G000011305	1166	3219545	0.03621629764454294
G000011345	355	2593857	0.013686182391704708
G000011365	20281	9105828	0.22272548965343955
G000011465	215	1657990	0.012967508851078715
G000011485	434	2410873	0.01800177777925258
G000011545	6722	7247567	0.09274836645180376
G000011645	11894	4222597	0.28167499763770965
G000011685	459	2922484	0.015705817380009608
G000011705	5723	5835547	0.09807135475046298
G000011905	1692	1469720	0.11512396919141062
G000011985	31077	1993560	1.5588695599831457
G000012005	50115	4560951	1.0987840035992493
G000012145	231	1587280	0.014553197923491759
G000012245	14625	6093698	0.24000204801747643
G000012305	2432	2650701	0.09174931461526592
G000012405	11013	3642249	0.3023681247492964
G000012425	152	4501104	0.0033769492995496214
G000012465	216	1842899	0.011720664019026545
G000012505	431	2234828	0.019285600502589016
G000012525	338	2742289	0.012325469707970238
G000012645	216	1709204	0.012637461648814302
G000012685	1076	9139763	0.011772734150765178
G000012725	1397	3402093	0.041062957420623124
G000012745	584	2909809	0.02007004583462351
G000012825	115151	5163189	2.2302301930066863
G000012845	19922	4811379	0.4140600854765339
G000012865	1407	2401520	0.05858789433358872
G000012885	151	3665893	0.004119050937929722
G000012925	404	4011202	0.01007179394106804
G000013105	151	2628784	0.005744100694465578
G000013205	1003	2932766	0.03419979636970696
G000013225	917	3046682	0.03009831679184109
G000013285	23674	3256683	0.7269359652136852
G000013325	1760	4233354	0.04157460018699122
G000013365	6050	5331656	0.11347318731741132
G000013405	180	3179300	0.005661623627842606
G000013605	762	4969804	0.01533259661749236
G000013625	6512	4110251	0.15843314678349327
G000013645	6987	9731178	0.07180014588161886
G000013705	1036	2971517	0.0348643470658253
G000013745	5008	5513844	0.09082592833602111
G000013865	1228	5898716	0.020818089902955153
G000013885	3134	5011582	0.06253514359338029
G000013985	3217	3373733	0.09535431523478592
G000014025	906	2341251	0.038697260567107074
G000014045	163	4331314	0.0037632921556830096
G000014125	10641	2547720	0.4176675615844755
G000014145	693	4433218	0.01563198561406184
G000014205	95024	2388435	3.9785047531123934
G000014245	151	4935245	0.003059625206043469
G000014265	531	7750108	0.006851517424015253
G000014285	637	2708434	0.023519125812185196
G000014385	871	1780517	0.04891837595484906
G000014425	188609	1894360	9.95634409510336
G000014445	2436	2075783	0.11735330716168307
G000014465	8044	2340268	0.3437213173875812
G000014505	10167	1832387	0.5548500398660327
G000014525	14143	2924345	0.48362966749819186
G000014585	444	2606748	0.01703271662623315
G000014705	205	4845257	0.004230941723008707
G000014725	1807	2936195	0.06154223408186446
G000014765	938	2781864	0.033718398886502
G000014805	1823	4744448	0.038423858792424326
G000014825	4953	5505494	0.08996467891891263
G000014865	610	4719581	0.012924876170151544
G000014885	339	5396476	0.0062818772843611275
G000014925	1603	5226688	0.03066951767543806
G000014965	169	4990251	0.003386603198917249
G000015005	1509	6988209	0.02159351559176321
G000015025	151	2443540	0.006179559164163468
G000015045	1459	4241159	0.03440097388473292
G000015265	167	5293705	0.003154690335030003
G000015305	151	6491865	0.002325987986503108
G000015345	198	1389350	0.014251268578831827
G000015405	485	6256119	0.007752410080434851
G000015445	329	1445021	0.02276783520793123
G000015505	1276	5366303	0.023778008807926052
G000015565	3479	5597963	0.06214760619175225
G000015645	215	1669886	0.012875130398122986
G000015665	215	1704176	0.012616067823980621
G000015685	214	1864731	0.011476186109417391
G000015705	415	2682675	0.015469633854268595
G000015725	2209	4643659	0.04757024579108845
G000015745	6443	3608032	0.17857380422346586
G000015865	5511	3843301	0.1433923598489944
G000015885	4311	2274482	0.1895376617621067
G000015965	215	1641879	0.013094753023822098
G000016065	301	4602594	0.006539790387768289
G000016165	3573	3608104	0.09902707904206752
G000016185	637	4355543	0.01462504215892255
G000016325	7938	4676481	0.16974301830799698
G000016345	976	2159490	0.04519585642906427
G000016425	587	5183331	0.011324763940408204
G000016505	10847	4023820	0.2695697123628791
G000016545	383	2970275	0.01289442896701484
G000016565	1211	5072807	0.02387238465804041
G000016645	1032	6096872	0.01692671258310819
G000016665	302	5801598	0.005205462357095407
G000016745	798	5136364	0.015536282085926932
G000016765	5898	5915286	0.09970777406198113
G000016825	22099	1999618	1.1051610857673815
G000016885	158	2995089	0.005275302336591667
G000016985	13181	4929566	0.26738662186488626
G000017005	46103	2196662	2.0987753236501567
G000017045	14229	3760560	0.37837449741527857
G000017245	2810	2319663	0.12113828603551464
G000017305	1486	4956712	0.029979550960394716
G000017405	1048	5205877	0.020131094146096807
G000017425	17285	4094179	0.42218476524841736
G000017465	906	1971270	0.04596021853931729
G000017545	207	1948941	0.010621152718322412
G000017565	453	3914745	0.011571634934076166
G000017585	151	1714971	0.008804813609093099
G000017645	4561	5625118	0.08108274350866951
G000017705	853	6058417	0.014079585475875957
G000017845	863	5460477	0.015804480084798452
G000018025	161	5517674	0.002917896200464181
G000018105	348	8361779	0.004161793800099237
G000018265	584	5786361	0.010092699021025477
G000018325	9626	3123558	0.3081742039046498
G000018425	420	2349476	0.01787632646598646
G000018545	151	6891940	0.0021909650983612744
G000018565	805	6785470	0.01186358498379626
G000018585	200	1688963	0.01184158563568296
G000018665	7392	6767514	0.1092277016346032
G000018685	27066	4847594	0.558338837782207
G000018785	776	1496992	0.05183728436758513
G000018885	391	3155250	0.012392045004357817
G000019165	2806	3075407	0.0912399562074223
G000019285	151	2049731	0.0073668203291066
G000019405	748	2263857	0.033040956208806475
G000019485	778	3410055	0.022814881284905962
G000019725	2661	6899270	0.03856929791122829
G000019745	273	1560469	0.01749474036331385
G000019785	1940	4909403	0.0395160063250053
G000019845	151	4418656	0.0034173287080958552
G000019905	9615	3040826	0.31619698068879964
G000019945	9219	5849037	0.15761568955710145
G000020005	655	3191493	0.020523309936760006
G000020045	3213	8676622	0.0370305402263692
G000020165	39814	3847989	1.0346703174047536
G000020205	4667	5325769	0.0876305374866991
G000020225	2535130	2664102	95.15889406636833
G000020385	431	3994894	0.010788771867288594
G000020485	1515	2578146	0.05876315771100628
G000020545	193	2736403	0.007053054685293066
G000020565	151	1884364	0.00801331377589468
G000020605	153600	3449685	4.452580452997883
G000020625	154	2579715	0.005969651686329691
G000020685	479	3855389	0.012424167833647914
G000020725	825	4615150	0.017875908692025176
G000021025	2623	3169329	0.0827619978866189
G000021045	1492	5365318	0.027808230565271246
G000021325	344	3914967	0.008786791817146863
G000021385	676	4040304	0.01673141426981732
G000021485	171	2982397	0.005733643106534778
G000021545	337	1640877	0.020537797775214108
G000021745	608	4305430	0.014121702129636296
G000021805	1013	4787754	0.02115814638763813
G000021825	797	6554289	0.012159976467317812
G000021885	2639	2269156	0.11629874719939924
G000021925	3964	5279134	0.07508807315745347
G000022005	151	4042929	0.0037349159483137102
G000022025	2107	4980910	0.04230150715431518
G000022045	344	5786170	0.005945210735253199
G000022065	10642	4068724	0.26155620287834713
G000022265	382	4304501	0.008874431670477018
G000022305	2493	3796573	0.06566448215272036
G000022325	525	2931702	0.01790768638831641
G000022565	156	4127356	0.0037796594236116296
G000022605	308	640955	0.04805329547316114
G000022725	314	2369540	0.013251517172109355
G000022885	3014	3812301	0.07905986437062551
G000022905	12193	2819246	0.4324915243295548
G000022965	41984	1938483	2.165817291149832
G000023105	193	4669183	0.004133485451309148
G000023125	1778	6967790	0.025517416569672737
G000023145	85969	2446804	3.5135221292755774
G000023205	41099	2501097	1.643238946750166
G000023225	340	3942657	0.008623626148559209
G000023245	470	8248144	0.00569825163091236
G000023265	302	2158157	0.01399342123858459
G000023285	5816	2612925	0.22258579943932566
G000023325	302	2302126	0.013118308902292925
G000023405	2151	3614992	0.059502206367261674
G000023465	634	5128187	0.012363043703359493
G000023585	12707	7184930	0.17685628113287116
G000023605	2504	4862913	0.051491770467618894
G000023705	658	2547570	0.025828534642816488
G000023725	450	2768102	0.016256626381542297
G000023745	1776	3082047	0.05762404012657821
G000023825	1561	5167383	0.0302087149336521
G000023845	4262	1617804	0.26344353209659516
G000023865	19096	4308349	0.4432324307988977
G000023885	4751	3165038	0.15010878226422558
G000023905	6865	2465610	0.2784300842387888
G000023925	11058	2785024	0.3970522336611821
G000024025	151	10467782	0.0014425214434156156
G000024065	1166	2749646	0.04240545873905223
G000024105	3029	1998653	0.15155207031936008
G000024125	303	3530383	0.008582638201011052
G000024165	581	5306193	0.010949469798780406
G000024205	4386	4545624	0.09648840291233943
G000024225	850	1543805	0.05505876713704127
G000024265	15668	3632260	0.4313567861331513
G000024285	2042	3205746	0.06369812205957677
G000024345	303	7579488	0.003997631502286171
G000024365	453	6060298	0.007474879948147764
G000024385	151	5639016	0.002677772150318424
G000024405	1061	4486690	0.023647722485841457
G000024525	743	8491418	0.008750010893351381
G000024565	1208	1673300	0.07219267316081994
G000024605	455	2157087	0.02109326142153747
G000024665	927	3842635	0.024124071112660975
G000024765	151	2582886	0.005846173621290293
G000024785	1696	5290032	0.032060297555855995
G000024805	495	9446314	0.005240139169627433
G000024865	151	10369538	0.0014561883084858746
G000024905	188	1848474	0.010170551492744826
G000024925	11172	4253413	0.26265965708009076
G000024945	61029	2132142	2.862332808978014
G000024965	374	3831400	0.009761444902646552
G000024985	302	3993784	0.007561750960993383
G000025085	56975	2658366	2.1432338511702302
G000025125	793	1443806	0.054924276530226364
G000025205	27320	1617545	1.6889792865113489
G000025225	4927	1809746	0.27224814974035033
G000025305	710	2329769	0.030475124357822597
G000025345	302	5322497	0.00567402856215795
G000025405	235935	4703373	5.0162936258723265
G000025565	13617	5598836	0.24321126748488436
G000025645	770	2451061	0.031414966824571074
G000025705	841	3003656	0.027999211627430038
G000025725	332	3222077	0.010303912662546549
G000025905	302	3750771	0.008051677908355375
G000025925	1470	3619559	0.04061268237373669
G000025965	302	4727295	0.006388431439121104
G000026065	13820	1884661	0.7332883738773179
G000026105	5421	5888780	0.09205641915642969
G000026125	7204	3424307	0.21037833348470217
G000026205	302	601943	0.05017086335417141
G000026325	57777	5358240	1.0782831676072742
G000026345	52431	5132068	1.0216349432626382
G000026405	4574	1896694	0.24115645433580749
G000026745	21647	2170828	0.9971771139859997
G000026765	216	846214	0.02552545809925149
G000027145	8799	2797636	0.3145155409781687
G000027165	521520	2146611	24.295039949017312
G000027225	1558	4225498	0.0368713936203496
G000027305	35255	1830138	1.926357465939727
G000046705	306	1931047	0.015846325853280628
G000055945	2763	1719074	0.16072606531190628
G000056065	30415	1864998	1.6308328480781213
G000058485	150	7497934	0.0020005510851389195
G000060345	151	3798465	0.003975290018467986
G000062885	1712	8212805	0.020845496757806864
G000063505	576	2366980	0.02433480637774717
G000063525	215	2224914	0.009663294850947048
G000063585	15825	3903280	0.405428255211002
G000064305	151	2860382	0.005279015180489879
G000067205	3563	5287950	0.0673796083548445
G000069185	334	5090511	0.0065612273502601215
G000069225	6452	3403826	0.18955140480153804
G000069785	4055	6476562	0.06261037877812332
G000069945	8977	2369219	0.37890123285352684
G000069965	301	4099915	0.007341615618860391
G000072485	5807	4851126	0.11970416765097423
G000091125	23231	4424942	0.5250012316545618
G000091165	162	2752854	0.0058848017366703795
G000091565	6475	3833852	0.1688901919009915
G000091665	1804	1739967	0.1036801272667815
G000091765	25362	2043161	1.2413118692065872
G000092025	2158	5674318	0.038031002139816625
G000092045	323	6530348	0.004946137633093979
G000092205	369	3097763	0.011911821530568995
G000092225	362	4479744	0.008080818903937368
G000092265	13909	1863286	0.7464769230273828
G000092365	151	1986154	0.007602633028456001
G000092385	340	11936683	0.002848362480598672
G000092405	733	2405559	0.03047108800906567
G000092505	2597	2101887	0.12355564309594189
G000092645	2219	4189976	0.0529597305569292
G000092825	221	3157527	0.006999148384162669
G000092845	165	3241804	0.00508975866523701
G000092865	151	4123179	0.003662222765492354
G000092905	1289	3384766	0.03808239624245812
G000092925	590	4765023	0.012381891965684112
G000092985	5798	6543332	0.08860928957907073
G000093025	912	3059871	0.02980517806142808
G000093085	3563	3592487	0.09917920371041009
G000143165	151	1686510	0.008953400809956656
G000143705	364	2337241	0.015573918136811736
G000143765	215	5093712	0.004220890384065687
G000143825	3001	2349953	0.12770468175320954
G000143845	490	2051896	0.023880352610463687
G000143965	247	3655731	0.006756514634145674
G000144405	134327	3168302	4.239715784669517
G000144605	220	3445263	0.00638557927217748
G000144625	27499	4662871	0.5897439581751243
G000144645	573	2280035	0.025131193161508487
G000144695	302	2469596	0.012228720811015243
G000144735	2482401	2504140	99.13187761067672
G000144935	151	2334828	0.006467285812916412
G000145035	12371	4404946	0.2808433973991963
G000145215	573	2532343	0.022627266527480677
G000145235	723	7025559	0.010290996061665699
G000145255	1166	3162471	0.03686990331294738
G000145275	25368	5262222	0.4820777230607146
G000145515	2480772	2505892	98.9975625445949
G000145555	2466312	2476721	99.57972658204135
G000145615	1952	2785752	0.07007084622033835
G000146185	31608	2831429	1.1163267735125972
G000146285	3167	2153110	0.1470895588242124
G000146345	1807	2125144	0.08502953211641187
G000146505	759	3843004	0.019750174602992866
G000146675	5704	2559558	0.222850976613931
G000146855	626	2511290	0.024927427736342676
G000146895	3349	2534093	0.13215773848868215
G000147055	1197	4922802	0.024315420364255966
G000147335	615	7842068	0.007842319143368815
G000147675	2735	1989504	0.13747145017049475
G000147695	801	2785056	0.02876064251490814
G000147715	302	2975973	0.010147941530383509
G000147815	1135	11138353	0.010190016423433519
G000147835	12647	4573261	0.27654227475755266
G000148995	4463	2598381	0.1717608002829454
G000152245	14273	4316707	0.33064555921909916
G000152745	383	3172091	0.012074054622014312
G000152845	215	4770836	0.004506547699396919
G000152865	306	3266193	0.009368705401058663
G000153025	185	5153466	0.0035898170279963035
G000153045	419	3282536	0.012764521089791552
G000153065	419	2584918	0.01620941167185961
G000153125	175	4351117	0.004021955741479716
G000153145	345	2772187	0.01244504789900537
G000153165	318	3868304	0.00822065690804032
G000153285	425	2627086	0.016177620374818333
G000153345	306	3924855	0.007796466366273403
G000153465	185	4327234	0.004275248345709985
G000153485	453	4321832	0.010481666108261498
G000153605	804	4040412	0.019898960799047224
G000153745	375	2296823	0.016326900244381045
G000153765	505	2992790	0.016873886908202712
G000153805	378	2285034	0.016542423438775967
G000153825	421	2664873	0.015798126214645127
G000153885	80341	2871315	2.7980559430086913
G000153905	97522	3626568	2.68909889460228
G000153925	58325	2742506	2.1267045541559435
G000154065	64721	2916133	2.2194118032339403
G000154205	56351	4719737	1.1939436455887267
G000154225	23011	2393978	0.9612034864146621
G000154245	44943	2954996	1.5209157643529805
G000154285	38572	2191413	1.7601428849787784
G000154305	60084	3607436	1.6655596939211117
G000154345	88397	3270609	2.702768811557725
G000154425	86357	3103427	2.782633520943138
G000154445	32209	2972596	1.0835310280979993
G000154465	22027	2550898	0.863499834176043
G000154485	60587	3235415	1.8726191230491296
G000154505	137724	3623405	3.800955178899405
G000154525	29312	4010149	0.7309454087616195
G000154565	284718	3720228	7.653240607833714
G000154705	310	4468465	0.006937505384958817
G000154725	302	5033129	0.006000243586047566
G000154805	49282	2508105	1.9649097625498138
G000154825	14606	2284783	0.6392729637781793
G000154845	31840	4301897	0.7401385946711416
G000155205	45329	2732155	1.6590932798468607
G000155435	80653	6551106	1.2311356280908903
G000155495	490	1952527	0.02509568369605132
G000155515	11694	3025392	0.3865284234241381
G000155555	891	8680161	0.010264786563290704
G000155595	344	5973758	0.005758519176705852
G000155635	430	2834272	0.015171444377956667
G000155775	185	2561082	0.007223509438588847
G000155855	27694	3028486	0.9144503227024989
G000155875	93937	3242455	2.8970949481180153
G000155915	4887	1746219	0.27986180427540874
G000155955	788	2577156	0.030576340741499543
G000156015	21713	2496639	0.8696892101741581
G000156035	216611	3997588	5.418542381055777
G000156055	5134	2480272	0.2069934265274131
G000156175	2060	1809537	0.11384127542017654
G000156215	1469	2476109	0.059326952084904176
G000156275	560	2394097	0.02339086511532323
G000156515	7451	3892299	0.19142928125511427
G000156535	134565	4413395	3.0490132879563236
G000156575	2923	2211675	0.13216227519866167
G000156595	10868	2810409	0.38670528026347767
G000156655	27797	2518623	1.103658626161994
G000156675	62389	3058861	2.039615399326743
G000157355	28483	3427276	0.831068171924292
G000157895	439	6577248	0.006674524056261829
G000157915	13293	4042944	0.3287950562758228
G000157935	6364	3512993	0.1811560683440018
G000157955	45098	3245671	1.3894815586669136
G000157975	51930	3627583	1.4315316837685037
G000157995	56577	3933603	1.4382996962326904
G000158075	36980	6419152	0.576088554999165
G000158195	429	2671176	0.01606034196174269
G000158215	7808	2546412	0.30662752139088256
G000158275	6538	2514049	0.2600585748328692
G000158295	151	1961245	0.007699191075056916
G000158315	232	3487644	0.006652055083603716
G000158475	12029	2488406	0.4834018243003754
G000158495	3024	2436926	0.12409076024466889
G000158595	215	1691453	0.01271096506967678
G000158615	13085	2171465	0.6025885749943011
G000158655	63002	3478743	1.8110564649357543
G000158935	151	8318010	0.0018153380435945619
G000158955	151	8653262	0.0017450066807176302
G000159015	311	1724523	0.018033972292628164
G000159035	1007	2704132	0.03723930636522182
G000159055	131776	3843094	3.428903898785718
G000159075	6136	6920677	0.08866184623267348
G000159095	867	2147327	0.040375778817106106
G000159115	50160	2437926	2.057486568501259
G000159155	3775	1667350	0.22640717305904579
G000159215	2827	1868465	0.15130066658995486
G000159235	1117	1430626	0.07807770863943476
G000159315	1338	2723279	0.04913194718572721
G000159335	9648	1604632	0.6012593541696788
G000159435	4324	1879552	0.23005482157450285
G000159495	7409	2993177	0.24752963155870836
G000159635	2715	2387304	0.11372661378693287
G000159995	7875	2585819	0.3045456777910596
G000160035	11447	3479344	0.32899879977375046
G000160055	1353	1895960	0.07136226502668833
G000160075	75153	2043499	3.6776626756362494
G000160095	39988	7178144	0.5570799359834521
G000160115	7357	2169557	0.33910148477315877
G000160135	8279	2676774	0.3092902127710445
G000160435	7904	2406755	0.3284089988386853
G000160535	1321	3274250	0.04034511720241277
G000160555	1315	2055393	0.06397803242494257
G000160575	7154	1980463	0.3612286621865695
G000160615	3157	2435446	0.129627181222659
G000160635	9205	2707794	0.339944619125384
G000160655	12558	2642994	0.4751429628671121
G000160675	15244	1947346	0.7828090128821482
G000160695	1741	2166223	0.08037030351907444
G000160775	160	3079840	0.005195075068834745
G000160835	1897	2303276	0.08236095022915187
G000160875	7390	1277869	0.578306540028751
G000161895	5006	1639515	0.305334199443128
G000161935	1033	1726049	0.05984766365265412
G000161975	4031	1084901	0.37155463954775597
G000161995	509	1790078	0.02843451514403283
G000162015	141333	3090729	4.5728046684131805
G000162395	2056	2027338	0.10141377510804808
G000162475	38484	1743361	2.2074601875343087
G000162575	151	1623845	0.009298917076445104
G000162875	2104	2096309	0.1003668829356741
G000162895	302	2520478	0.011981854235585471
G000163515	61865	3137598	1.971731241542097
G000163595	735	5268029	0.013952087203772038
G000163695	1322	2113719	0.06254379129865417
G000163775	6506	2373174	0.2741476183372985
G000163895	4124	1931012	0.21356677224170537
G000164135	487	6566631	0.007416283936161481
G000164675	84893	2153652	3.9418160408459677
G000164695	36012	2506025	1.4370167895372152
G000164865	2334	4814049	0.04848309603828295
G000164985	22030	6238530	0.35312806061684404
G000165465	767	2309262	0.03321407445322359
G000165485	416	10260756	0.004054282160105942
G000165505	302	3132354	0.009641311294955806
G000165675	1362	1639551	0.08307152385012727
G000165735	5765	1766268	0.32639440900248434
G000165795	558	2630170	0.02121535870304961
G000165905	8140	2214656	0.36755143913998384
G000166195	925	8408322	0.011001005908194287
G000166275	556	4787724	0.011613033666936523
G000166295	151	4651765	0.003246079713829052
G000166355	506	2770676	0.018262691126642017
G000166395	2018	4059653	0.049708681998190486
G000166415	1688	2613117	0.06459718412914539
G000166695	477	2802463	0.01702074211149264
G000167195	617	6244596	0.009880543112797048
G000167435	2323	1333564	0.17419486428847808
G000168295	196	1581259	0.0123951863673187
G000168735	1508	3246634	0.04644810594603519
G000168995	544	1304468	0.041702824446441
G000169035	18517	2440349	0.7587849115024122
G000169155	2848	2890734	0.09852169033885512
G000169175	642	9773906	0.00656851007161313
G000169235	114831	3186331	3.603862875514188
G000169255	95251	4242356	2.2452382591182825
G000169335	3680	5883772	0.06254491166550982
G000169355	151	2807249	0.00537893147348169
G000169375	157	4896224	0.0032065526413824204
G000169395	170	3583382	0.004744121614720395
G000169415	308	5263653	0.005851449554140442
G000169435	265	3497525	0.007576786441841016
G000169655	1734	4722134	0.03672068602881663
G000170715	8702	7766899	0.11203956688505927
G000170735	151	1664298	0.009072894397517753
G000170795	3370	5788974	0.05821411531646196
G000170815	453	3214505	0.01409237192040454
G000170875	152	4179304	0.0036369692178410567
G000170895	472	10592366	0.0044560393777934035
G000170915	509	3391171	0.015009564542749392
G000171335	3983	2687867	0.14818441537471908
G000171615	6326	3384091	0.18693350740272646
G000171775	9307	9180261	0.1013805598773281
G000171875	151	3825847	0.003946838438651624
G000172075	165	4354149	0.003789489059745085
G000172155	2805	8220857	0.03412053025615213
G000172375	1003	1514880	0.06620986480777355
G000172975	2137	2576399	0.08294522703975588
G000173115	151	1515648	0.00996273541086057
G000173355	1094	1890386	0.057871778567975006
G000173555	327	6005874	0.005444669668394641
G000173615	932	1539011	0.06055837157759106
G000173655	8116	2514852	0.32272276857644105
G000173675	22578	2999125	0.7528195723752762
G000173795	3399	2680793	0.12679084136671498
G000173815	80425	4550100	1.7675435704709788
G000173895	179807	1873453	9.597625347419978
G000173915	35942	1916472	1.8754252605829878
G000173975	31123	3294476	0.9447025869971432
G000174015	802	1626451	0.04930981628097004
G000174195	162899	4052022	4.020190413576234
G000174355	1216	4229167	0.028752707093382693
G000174395	48518	3052632	1.5893825393955119
G000174415	1458	3117406	0.046769654000794254
G000174755	8841	2667858	0.3313894517624252
G000174815	1923	2065228	0.09311320590268968
G000174895	9304	4575968	0.20332310016153962
G000175035	4964	1689395	0.29383299938735463
G000175095	151	3337063	0.004524937047937063
G000175215	459	4308836	0.01065252889643514
G000175235	1895	4854834	0.03903326045751513
G000175255	436	2143581	0.02033979588361718
G000175375	57338	2856128	2.007543079301768
G000175395	12962	2541646	0.5099844746278592
G000175415	1494	6507226	0.022959091938715512
G000175555	248	2690566	0.009217391433624003
G000175795	1910	4915887	0.038853618889124183
G000175835	151	3880870	0.0038908801377010825
G000175855	478	3187431	0.014996403059391717
G000176015	302	3515502	0.008590522775979078
G000176335	780	2291424	0.03403996815953748
G000176775	2974	2453460	0.1212165676228673
G000176795	1013	5046468	0.020073445427574298
G000176855	3793	5482170	0.0691879310564977
G000176895	505	6180184	0.008171277748364774
G000177015	131446	3197455	4.1109569954854726
G000177075	14984	3036301	0.4934952101257418
G000177235	10284	4681672	0.21966511109706102
G000177335	327	2564794	0.01274956195312372
G000177375	791	1419883	0.05570881544465284
G000177535	5146	2601311	0.19782332831406935
G000177555	11762	1726857	0.6811218300067695
G000177615	302	5341029	0.005654341139132553
G000177635	1781	2928377	0.06081867191280358
G000178115	5657	3008576	0.1880291539917888
G000178255	31105	2955891	1.052305379325557
G000178335	1325	1419621	0.09333477033658984
G000178375	151	973670	0.015508334445962186
G000178455	626	2563704	0.024417795502132852
G000178475	11613	1542246	0.7529927132247385
G000178835	14734	4714237	0.3125426235465039
G000178875	162	5368787	0.003017441369903481
G000179055	2548	3594887	0.07087844485793295
G000179235	628	2789647	0.02251180884176385
G000179255	203	2428848	0.008357871715315244
G000179315	151	6570902	0.0022980102275151873
G000179395	8554	3433007	0.24916931424841254
G000179595	2939	6156915	0.047734945179525784
G000179615	12460	5453558	0.22847469486892777
G000179635	10680	4482167	0.23827760099077075
G000179715	1068	1450273	0.07364130753313342
G000179775	164	3732214	0.004394174610566275
G000180175	4082	4092892	0.09973388010238238
G000182745	823	3513331	0.023425062995772388
G000183135	2197	3685504	0.059611928246448787
G000183325	2872	2533002	0.11338325038827447
G000183345	49748	4894899	1.0163233194392776
G000183405	445	2216572	0.02007604535291432
G000183425	650	4516510	0.014391643104963788
G000183525	19765	3384656	0.58395890158409
G000183545	220	2888761	0.0076157217575285735
G000183565	2639	1836650	0.14368551438760788
G000183585	27612	4101032	0.673293941622499
G000183685	57217	2268677	2.5220425825271735
G000183745	326	2439311	0.013364429545884064
G000183885	733	3115943	0.02352417871572105
G000184435	633	5783332	0.010945247480172329
G000184535	1303	2498389	0.052153607784856566
G000184705	440	2844696	0.01546738210339523
G000184745	16538	6550056	0.2524863909560468
G000184945	1572	3284505	0.047861093224093126
G000185045	557	1476028	0.037736411504388806
G000185145	768	2839597	0.027046091399589446
G000185365	19697	2416868	0.8149803795656196
G000185385	5434	3083124	0.1762498037704614
G000185425	1204	2122226	0.056732883302720825
G000185445	3299	2098856	0.15718086424223482
G000185465	989	1373406	0.07201075282909787
G000185505	12229	2363702	0.5173664023637498
G000185725	189	3587649	0.0052680738834819125
G000185805	468	1759546	0.026597770106607046
G000185845	8814	3275361	0.2691001083544684
G000185885	38914	2617381	1.486753361470875
G000185925	1121	3917546	0.02861485225699966
